latitude,longitude,city,Address,Zip
33.72616699,-118.2980995,LA,"West 20th Street, San Pedro, Los Angeles, Los Angeles County, California, 90732, United States of America",90732
33.76512447,-118.1774934,LA,"South 5th Place, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America",90802
33.76554868,-118.1805145,LA,"South 2nd Place, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America",90802
33.76934633,-118.1756509,LA,"Bird Way, Belmont Shore, Long Beach, Los Angeles County, California, 90802, United States of America",90802
33.77145442,-118.1699966,LA,"East 4th Street, Belmont Shore, Long Beach, Los Angeles County, California, 90814, United States of America",90814
33.77276132,-118.4116232,LA,"Via Palestra, Palos Verdes Estates, Los Angeles County, California, 90274, United States of America",90274
33.78618778,-118.1500988,LA,"Loma Avenue, Belmont Shore, Long Beach, Los Angeles County, California, 90804, United States of America",90804
33.79244654,-118.372694,LA,"Bayridge Road, Ranchos Palos Verdes, Los Angeles County, California, 90275, United States of America",90275
33.79937475,-118.316879,LA,"West 248th Street, Lomita, Los Angeles County, California, 90717, United States of America",90717
33.81522977,-118.3868687,LA,"South Catalina Avenue, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.81697793,-118.1880231,LA,"30A, San Diego Freeway, Signal Hill, Los Angeles County, California, 90806, United States of America",90806
33.81844571,-118.125882,LA,"Wardlow Street, Los Altos, Long Beach, Los Angeles County, California, 90808, United States of America",90808
33.82158994,-118.3883018,LA,"South Catalina Avenue, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.83663012,-118.3812212,LA,"VIP Liquor & Market, 604, Torrance Boulevard, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.83942446,-118.3862454,LA,"South Broadway, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.83985344,-118.3820347,LA,"Garnet Street, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.84225889,-118.3815197,LA,"Emerald Street, Redondo Beach, Los Angeles County, California, 90277, United States of America",90277
33.86328328,-118.3995413,LA,"Palm Drive, Hermosa Beach, Los Angeles County, California, 90254, United States of America",90254
33.86508911,-118.3783881,LA,"Marshallfield Lane, Redondo Beach, Los Angeles County, California, 90278, United States of America",90278
33.86739229,-118.1887713,LA,"East Harding Street, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States of America",90805
33.86875229,-118.2580689,LA,"Lysander Drive, Keystone, Carson, Los Angeles County, California, 90746, United States of America",90746
33.87069884,-118.1890233,LA,"Pali Drive, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States of America",90805
33.87306446,-118.3786645,LA,"Artesia Boulevard, Redondo Beach, Los Angeles County, California, 90278, United States of America",90278
33.9199744,-118.4206253,LA,"Whiting Street, El Segundo, Los Angeles County, California, 90245, United States of America",90245
33.95758309,-118.3317194,LA,"Rosehedge Lane, Inglewood, Los Angeles County, California, 90305, United States of America",90305
33.97213992,-118.4518058,LA,"Bora Bora Way, Marina del Rey, Beverly Hills, Los Angeles County, California, 90292, United States of America",90292
33.97385042,-117.9042943,LA,"Marimba Street, Rowland Heights, Los Angeles County, California, 91748, United States of America",91748
33.97785842,-118.4656221,LA,"Venice/Marina Beachfront Bungalow, Ocean Front Walk, Venice, Los Angeles, Los Angeles County, California, 90292, United States of America",90292
33.97878878,-118.4618099,LA,"Via Dolce, Los Angeles, Los Angeles County, California, 90292, United States of America",90292
33.97885075,-118.4656801,LA,"Cabo Cantina, 30, Washington Boulevard, Venice, Los Angeles, Los Angeles County, California, 90292, United States of America",90292
33.97924401,-118.4510847,LA,"Panay Way, Marina del Rey, Ocean Park, Los Angeles County, California, 90292, United States of America",90292
33.98002755,-118.0327963,LA,"Painter Avenue, East Whittier, Whittier, Los Angeles County, California, 90605, United States of America",90605
33.98178165,-118.4671676,LA,"Pacific Avenue, Venice, Los Angeles, Los Angeles County, California, 90292, United States of America",90292
33.98535141,-118.4735611,LA,"Squash, Venice Beach Bike Path, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.98667547,-118.466761,LA,"North Venice Boulevard, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.98752414,-118.4604281,LA,"Mildred Avenue, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.98817372,-118.4604527,LA,"Abbot Kinney Boulevard, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.98838288,-118.450989,LA,"Jolly Roger Hotel, W Washington Boulevard, Venice, Los Angeles, Los Angeles County, California, 90292, United States of America",90292
33.98919323,-118.4142837,LA,"Havelock Avenue, Del Rey, Culver Garden, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
33.9939985,-118.4758427,LA,"Vegan scene, 610, Main Street, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99445279,-118.4584923,LA,"Superba Court, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99539244,-118.4641347,LA,"Oakwood Recreation Center, 7th Avenue, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99565703,-118.3030899,LA,"West 51st Place, Wildasin, Leimert Park, Los Angeles, Los Angeles County, California, 90062, United States of America",90062
33.99572975,-118.4773957,LA,"Main Street, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.9960412,-118.44598,LA,"Walgrove Avenue, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
33.99633207,-118.4495831,LA,"Glyndon Avenue, Mar Vista, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99658288,-118.4173832,LA,"Kensington Road, Del Rey, Culver Garden, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
33.99676959,-118.4503613,LA,"Glyndon Court, Mar Vista, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99727763,-118.4500479,LA,"Lucille Avenue, Mar Vista, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
33.99757219,-118.3256696,LA,"8th Avenue, Van Ness, Leimert Park, Los Angeles, Los Angeles County, California, 90043, United States of America",90043
33.99845781,-118.4168993,LA,"Avon Way, Del Rey, Culver Garden, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
33.99965264,-118.4741228,LA,"Rennie Court, Venice, Los Angeles, Los Angeles County, California, 90405, United States of America",90405
34.00170174,-118.4678799,LA,"Out of the closet, 214, Lincoln Boulevard, Venice, Los Angeles, Los Angeles County, California, 90291, United States of America",90291
34.00201969,-118.4812119,LA,"Sermon on the Mountain Church, Hill Street, Santa Monica, Los Angeles County, California, 90405, United States of America",90405
34.00258325,-118.4376002,LA,"Stewart Avenue, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
34.00446681,-118.4319379,LA,"LA Brakeless, 11601, Venice Boulevard, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
34.0055704,-118.4455681,LA,"Beethoven Street, Mar Vista, Los Angeles, Los Angeles County, California, 90066, United States of America",90066
34.00786613,-118.4681293,LA,"Ashland Avenue, Santa Monica, Los Angeles County, California, 90405, United States of America",90405
34.00947436,-118.4648314,LA,"Wellesley Drive, Santa Monica, Los Angeles County, California, 90405, United States of America",90405
34.01804694,-118.4843974,LA,"11th Street, Santa Monica, Los Angeles County, California, 90405, United States of America",90405
34.01846842,-118.3921841,LA,"Duquesne Avenue, Culver City, Los Angeles County, California, 90232, United States of America",90232
34.01894609,-118.4901797,LA,"CVS, Lincoln Boulevard, Santa Monica, Los Angeles County, California, 90045, United States of America",90045
34.0193767,-118.4917326,LA,"LACMTA, Santa Monica Boulevard, Santa Monica, Los Angeles County, California, 90404, United States of America",90404
34.02054519,-118.4058165,LA,"3755, Mentone Avenue, Palms, Los Angeles, Los Angeles County, California, 90034, United States of America",90034
34.02138303,-118.3957099,LA,"Culver City Hall, Culver Boulevard, Culver City, Los Angeles County, California, 90293, United States of America",90293
34.02305,-118.1977293,LA,"Esperanza Street, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States of America",90023
34.02361843,-118.5011744,LA,"5th Court, Santa Monica, Los Angeles County, California, 90401, United States of America",90401
34.02516121,-118.5003408,LA,"Idaho Avenue, Santa Monica, Los Angeles County, California, 90403, United States of America",90403
34.02578455,-118.5134112,LA,"Cyclehop, San Vicente Boulevard, Santa Monica, Los Angeles County, California, 90402, United States of America",90402
34.02605281,-118.2095383,LA,"Garnet Street, Ninth Street Junction, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States of America",90023
34.02643452,-118.7681337,LA,"Meadows Court, Le Mer Private Estates, Malibu, Los Angeles County, California, 90265, United States of America",90265
34.02692472,-117.8053239,LA,"Decorah Road, Diamond Bar, Los Angeles County, California, 91765, United States of America",91765
34.02820503,-118.2917788,LA,"Vermont Avenue, Saint James Park, Los Angeles, Los Angeles County, California, 90089, United States of America",90089
